reading_id,sensor_id,ts,value
1,1,2024-04-01 00:00:00,10.87
2,1,2024-04-01 01:00:00,12.46
3,1,2024-04-01 02:00:00,11.63
4,1,2024-04-01 03:00:00,7.12
5,1,2024-04-01 04:00:00,6.86
6,1,2024-04-01 05:00:00,11.23
7,1,2024-04-01 06:00:00,14.07
8,1,2024-04-01 07:00:00,14.15
9,1,2024-04-01 08:00:00,18.14
10,1,2024-04-01 09:00:00,16.35
11,1,2024-04-01 10:00:00,16.65
12,1,2024-04-01 11:00:00,13.72
13,1,2024-04-01 12:00:00,12.94
14,1,2024-04-01 13:00:00,19.04
15,1,2024-04-01 14:00:00,15.24
16,1,2024-04-01 15:00:00,16.49
17,1,2024-04-01 16:00:00,10.5
18,1,2024-04-01 17:00:00,11.88
19,1,2024-04-01 18:00:00,8.9
20,1,2024-04-01 19:00:00,9.21
21,1,2024-04-01 20:00:00,12.37
22,1,2024-04-01 21:00:00,5.9
23,1,2024-04-01 22:00:00,7.6
24,1,2024-04-01 23:00:00,8.92
25,1,2024-04-02 00:00:00,6.8
26,1,2024-04-02 01:00:00,7.92
27,1,2024-04-02 02:00:00,8.35
28,1,2024-04-02 03:00:00,10.46
29,1,2024-04-02 04:00:00,9.16
30,1,2024-04-02 05:00:00,11.72
31,1,2024-04-02 06:00:00,12.14
32,1,2024-04-02 07:00:00,13.95
33,1,2024-04-02 08:00:00,14.34
34,1,2024-04-02 09:00:00,18.52
35,1,2024-04-02 10:00:00,13.52
36,1,2024-04-02 11:00:00,18.36
37,1,2024-04-02 12:00:00,14.63
38,1,2024-04-02 13:00:00,13.18
39,1,2024-04-02 14:00:00,18.02
40,1,2024-04-02 15:00:00,13.49
41,1,2024-04-02 16:00:00,12.87
42,1,2024-04-02 17:00:00,9.6
43,1,2024-04-02 18:00:00,6.96
44,1,2024-04-02 19:00:00,12.59
45,1,2024-04-02 20:00:00,7.4
46,1,2024-04-02 21:00:00,11.32
47,1,2024-04-02 22:00:00,13.32
48,1,2024-04-02 23:00:00,8.25
49,1,2024-04-03 00:00:00,5.7
